book_id,title,publication_year,num_pages,average_rating,rating_variance,ratings_count,text_reviews_count,Children,Biography,Comics,Fantasy Paranormal,Mystery Thriller Crime,Poetry,Young Adult,Romance
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",2004.0,435.0,4.53,0.8411960193122449,1876252,28561,1.0,,,,,,,
214,Sideswipe: A Hoke Moseley Novel,2005.0,215.0,4.04,2.0454545454545454,600,57,,,,,1.0,,,
244,The Puffin Book Of Nonsense Verse,1996.0,287.0,4.04,2.619047619047619,63,6,,,,,,1.0,,
289,The Beloved: Reflections on the Path of the Heart,1998.0,102.0,4.18,1.7861538461538458,300,16,,,,,,1.0,,
290,Jesus the Son of Man,1995.0,216.0,3.99,1.829225352112676,1174,71,,,,,,1.0,,
291,The Broken Wings,2003.0,132.0,3.93,1.4282858295733831,5687,465,,,,,,1.0,,
292,Sand and Foam,2011.0,100.0,4.09,1.2934019271598896,2665,181,,,,,,1.0,,
302,Treasure Island,2006.0,232.0,4.02,0.7666666666666666,79,21,1.0,,,,,,,
341,Perfume Dreams: Reflections on the Vietnamese Diaspora,2005.0,,3.9,2.5714285714285707,183,27,,1.0,,,,,,
475,Collapse: How Societies Choose to Fail or Succeed,2005.0,608.0,3.92,1.846886272337641,44814,2474,,1.0,,,,,,
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,1998.0,576.0,4.38,0.6846153846153846,223,10,,,,,,1.0,,
676,Sailing Alone Around the Room: New and Selected Poems,2002.0,192.0,4.23,1.2510832224951245,11173,563,,,,,,1.0,,
868,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",2005.0,192.0,4.56,1.4843005732302432,12113,204,,,1.0,,,,,
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",2005.0,192.0,4.49,1.1160974063351823,95704,1055,,,1.0,,,,,
873,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",2005.0,192.0,4.53,1.5164790620279014,12538,293,,,1.0,,,,,
1111,The Power Broker: Robert Moses and the Fall of New York,1975.0,1344.0,4.48,3.482124892651208,7939,912,,1.0,,,,,,
1229,Life of Pi,2002.0,319.0,3.88,1.7906403940886704,432,52,,,,1.0,,,,
1317,Tides of War,2001.0,448.0,3.87,1.1311080346613342,2996,135,,1.0,,,,,,
1371,The Iliad,1999.0,683.0,3.83,1.4467206845157965,247108,2755,,,,,,1.0,,
1372,The Iliad,1961.0,527.0,3.83,1.713323173177188,2412,157,,,,,,1.0,,
1375,The Iliad/The Odyssey,1999.0,1556.0,4.03,1.154002700411877,48684,328,,1.0,,,,,,
1376,The Iliad,2003.0,462.0,3.83,1.6841395129191123,1701,98,,,,,,1.0,,
1381,The Odyssey,2006.0,541.0,3.73,1.3171355067155164,680823,5608,,,,,,1.0,,
1384,The Odyssey,2003.0,324.0,3.73,1.61095806550352,2114,135,,,,,,1.0,,
1387,The Odyssey,1999.0,304.0,3.73,1.373846153846154,232,25,,,,,,1.0,,
1417,The Complete Pelican Shakespeare,2002.0,1808.0,4.58,0.4319327731092438,522,23,,,,,,1.0,,
1420,Hamlet,2005.0,289.0,4.01,1.2912894119598364,526122,5737,,,,,,1.0,,
1421,The Oxford Shakespeare: The Complete Works,2005.0,1420.0,4.62,3.676767676767676,425,36,,,,,,1.0,,
1433,Hamlet,,148.0,4.01,1.5126997965707645,1433,95,,,,,,1.0,,
1462,Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,1955.0,221.0,4.02,1.1806778252163073,4507,52,,1.0,,,,,,
